,Name,Year,Duration,Age_restriction,Country,Genre,Rating,Number_of_reviews
106,Щенячья школа ,2018,77,6+,США,Документальные,8.9,9
107,Медведи Камчатки. Начало жизни ,2018,52,0+,Россия,Документальные,8.6,23
108,Доспехи Бога ,1986,86,16+,Гонконг,Боевики,9.8,1
109,Расправь крылья ,2019,113,6+,Франция,Приключения,9.1,58
110,Жизнь прекрасна ,1997,110,16+,Италия,Драмы,8.7,9
111,Гладиатор ,2000,154,18+,США,Боевики,9.1,20
112,Доктор Лиза ,2020,119,18+,Россия,Драмы,9.1,45
113,Собачья жизнь ,2017,99,6+,США,Фэнтези,9.1,29
114,Назад в будущее ,1985,115,16+,США,Фантастика,8.9,21
115,Ласточки Христовы ,2022,70,16+,Россия,Документальные,9.3,57
116,Собачья жизнь 2 ,2019,108,16+,США,Семейные,9.4,22
117,Евгений Гришковец: Предисловие ,2020,1 сезон,18+,Россия,Артхаус,8.9,11
118,Михаил Зорин. Жизнь продолжается! ,2021,72,18+,Россия,Документальные,9.2,8
119,Тариф Новогодний ,2008,82,18+,Россия,Комедии,9.1,4
